,user_id,vehicle_model,battery_capacity_kWh,charging_station_id,charging_station_location,charging_start,charging_end,charging_duration_hours,charging_cost_usd,time_of_day,day_of_week,vehicle_age_years,charger_type,user_type,vehicle_brand,ev_type,logo,state_id,state_name,lat,lng,type_of_current,voltage,connector_type,connector_image
0,1,BMW i3,108.463,391,Houston,2024-01-01 00:00:00,2024-01-01 00:39:00,0.591363,13.0877,Evening,Tuesday,2,DC Fast Charger,Commuter,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,TX,Texas,29.7863,-95.3889,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
1,2,Hyundai Kona,100.0,428,San Francisco,2024-01-01 01:00:00,2024-01-01 03:01:00,3.13365,21.1284,Morning,Monday,3,Level 1,Casual Driver,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,CA,California,37.7562,-122.443,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
2,3,Chevy Bolt,75.0,181,San Francisco,2024-01-01 02:00:00,2024-01-01 04:48:00,2.45265,35.6673,Morning,Thursday,2,Level 2,Commuter,CHEVROLET,Battery Electric Vehicle (BEV),https://w7.pngwing.com/pngs/75/157/png-transparent-chevrolet-silverado-general-motors-car-logo-chevrolet-angle-emblem-logo-thumbnail.png,CA,California,37.7562,-122.443,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
3,4,Hyundai Kona,50.0,327,Houston,2024-01-01 03:00:00,2024-01-01 06:42:00,1.26643,13.0362,Evening,Saturday,1,Level 1,Long-Distance Traveler,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
4,5,Hyundai Kona,50.0,108,Los Angeles,2024-01-01 04:00:00,2024-01-01 05:46:00,2.01977,10.1615,Morning,Saturday,1,Level 1,Long-Distance Traveler,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,CA,California,34.1139,-118.407,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
5,6,Nissan Leaf,50.0,335,San Francisco,2024-01-01 05:00:00,2024-01-01 07:10:00,1.16764,36.9003,Evening,Saturday,0,DC Fast Charger,Long-Distance Traveler,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,CA,California,37.7562,-122.443,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
6,7,Chevy Bolt,85.0,162,Houston,2024-01-01 06:00:00,2024-01-01 07:53:00,3.53962,22.2142,Evening,Friday,4,Level 2,Commuter,CHEVROLET,Battery Electric Vehicle (BEV),https://w7.pngwing.com/pngs/75/157/png-transparent-chevrolet-silverado-general-motors-car-logo-chevrolet-angle-emblem-logo-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
7,8,Chevy Bolt,75.0,302,Los Angeles,2024-01-01 07:00:00,2024-01-01 10:42:00,2.6554,9.79682,Afternoon,Monday,0,Level 2,Long-Distance Traveler,CHEVROLET,Battery Electric Vehicle (BEV),https://w7.pngwing.com/pngs/75/157/png-transparent-chevrolet-silverado-general-motors-car-logo-chevrolet-angle-emblem-logo-thumbnail.png,CA,California,34.1139,-118.407,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
8,9,Chevy Bolt,62.0,493,Los Angeles,2024-01-01 08:00:00,2024-01-01 09:21:00,1.7242,32.465,Evening,Wednesday,4,Level 1,Commuter,CHEVROLET,Battery Electric Vehicle (BEV),https://w7.pngwing.com/pngs/75/157/png-transparent-chevrolet-silverado-general-motors-car-logo-chevrolet-angle-emblem-logo-thumbnail.png,CA,California,34.1139,-118.407,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
9,10,Hyundai Kona,50.0,452,Chicago,2024-01-01 09:00:00,2024-01-01 12:44:00,2.02687,21.3123,Morning,Wednesday,3,DC Fast Charger,Commuter,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,IL,Illinois,41.8373,-87.6862,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
10,11,BMW i3,50.0,206,Los Angeles,2024-01-01 10:00:00,2024-01-01 13:59:00,2.64864,38.2212,Night,Thursday,3,DC Fast Charger,Casual Driver,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,CA,California,34.1139,-118.407,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
11,12,Chevy Bolt,85.0,78,San Francisco,2024-01-01 11:00:00,2024-01-01 14:55:00,2.05789,14.0509,Evening,Sunday,0,DC Fast Charger,Long-Distance Traveler,CHEVROLET,Battery Electric Vehicle (BEV),https://w7.pngwing.com/pngs/75/157/png-transparent-chevrolet-silverado-general-motors-car-logo-chevrolet-angle-emblem-logo-thumbnail.png,CA,California,37.7562,-122.443,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
12,13,Hyundai Kona,100.0,16,San Francisco,2024-01-01 12:00:00,2024-01-01 13:00:00,3.06558,10.9721,Afternoon,Monday,0,Level 2,Casual Driver,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,CA,California,37.7562,-122.443,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
13,14,Nissan Leaf,75.0,327,Houston,2024-01-01 13:00:00,2024-01-01 15:54:00,3.59097,37.4419,Morning,Friday,7,Level 2,Commuter,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
14,15,BMW i3,85.0,96,Houston,2024-01-01 14:00:00,2024-01-01 17:32:00,3.42181,18.5528,Afternoon,Monday,4,Level 1,Casual Driver,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,TX,Texas,29.7863,-95.3889,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
15,16,Nissan Leaf,100.0,147,Los Angeles,2024-01-01 15:00:00,2024-01-01 17:19:00,2.70329,33.0935,Evening,Monday,2,DC Fast Charger,Long-Distance Traveler,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,CA,California,34.1139,-118.407,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
16,17,BMW i3,97.6818,2,New York,2024-01-01 16:00:00,2024-01-01 18:02:00,3.45868,17.4948,Evening,Thursday,7,DC Fast Charger,Commuter,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,NY,New York,40.6943,-73.9249,DC,480V,CCS1,https://www.power-sonic.com/blog/ev-charging-connector-types/
17,18,Hyundai Kona,50.0,10,Chicago,2024-01-01 17:00:00,2024-01-01 20:13:00,0.848218,6.43059,Evening,Friday,6,Level 2,Casual Driver,HYUNDAI,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/78/359/png-clipart-hyundai-motor-company-car-hyundai-i30-hyundai-tucson-car-logo-emblem-trademark-thumbnail.png,IL,Illinois,41.8373,-87.6862,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
18,19,Tesla Model 3,100.0,434,New York,2024-01-01 18:00:00,2024-01-01 21:03:00,0.807532,25.0788,Evening,Saturday,0,Level 1,Long-Distance Traveler,TESLA,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/354/373/png-clipart-tesla-tesla-thumbnail.png,NY,New York,40.6943,-73.9249,AC,120V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
19,20,BMW i3,50.0,125,Los Angeles,2024-01-01 19:00:00,2024-01-01 20:22:00,2.58093,7.09084,Morning,Wednesday,3,Level 2,Long-Distance Traveler,BMW,Plug-in Hybrid Electric Vehicle (PHEV),https://e7.pngegg.com/pngimages/996/945/png-clipart-bmw-car-logo-bmw-logo-trademark-logo-thumbnail.png,CA,California,34.1139,-118.407,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
20,21,Nissan Leaf,50.0,81,Los Angeles,2024-01-01 20:00:00,2024-01-01 22:54:00,3.16887,28.8729,Night,Tuesday,3,Level 2,Casual Driver,NISSAN,Battery Electric Vehicle (BEV),https://e7.pngegg.com/pngimages/727/223/png-clipart-nissan-navara-car-nissan-quest-nissan-juke-nissan-text-trademark-thumbnail.png,CA,California,34.1139,-118.407,AC,240V,J1772,https://www.power-sonic.com/blog/ev-charging-connector-types/
